№;x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;Teta
40;0;1;0;1;1;0;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;0;0,62;0,38;1,63;0,49;;
41;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;1;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;0,64;0,36;1,78;0,58;;
42;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0,66;0,34;1,94;0,66;;
43;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;1;1;0;1;1;1;0;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0,68;0,32;2,13;0,75;;
44;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;1;1;1;1;1;0,6;0,4;1,50;0,41;;
45;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;0;1;1;0;0;1;1;0,66;0,34;1,94;0,66;;
46;1;1;0;1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0,74;0,26;2,85;1,05;;
47;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0,72;0,28;2,57;0,94;;
48;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0,74;0,26;2,85;1,05;;
49;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0,76;0,24;3,17;1,15;;
w;28,0;19,0;22,0;18,0;28,0;27,0;20,0;27,0;26,0;32,0;29,0;36,0;19,0;23,0;22,0;29,0;18,0;18,0;26,0;28,0;20,0;30,0;22,0;12,0;24,0;20,0;21,0;23,0;27,0;26,0;29,0;27,0;29,0;19,0;19,0;24,0;13,0;22,0;19,0;24,0;16,0;24,0;17,0;36,0;26,0;25,0;26,0;23,0;21,0;27,0;
p;0,4;0,6;0,6;0,6;0,4;0,5;0,6;0,5;0,5;0,4;0,4;0,3;0,6;0,5;0,6;0,4;0,6;0,6;0,5;0,4;0,6;0,4;0,6;0,8;0,5;0,6;0,6;0,5;0,5;0,5;0,4;0,5;0,4;0,6;0,6;0,5;0,7;0,6;0,6;0,5;0,7;0,5;0,7;0,3;0,5;0,5;0,5;0,5;0,6;0,5;
b;0,2;-0,5;-0,2;-0,6;0,2;0,2;-0,4;0,2;0,1;0,6;0,3;0,9;-0,5;-0,2;-0,2;0,3;-0,6;-0,6;0,1;0,2;-0,4;0,4;-0,2;-1,2;-0,1;-0,4;-0,3;-0,2;0,2;0,1;0,3;0,2;0,3;-0,5;-0,5;-0,1;-1,0;-0,2;-0,5;-0,1;-0,8;-0,1;-0,7;0,9;0,1;0,0;0,1;-0,2;-0,3;0,2;
